end_date,filename,start_date
2019-02-02,L20190272019033.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-01-27
2008-09-13,M20082512008257.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-09-07
2022-12-31,L20223592022365.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-12-25
2011-04-23,M20111072011113.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-04-17
2022-09-17,L20222542022260.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-09-11
2020-04-18,L20201032020109.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-04-12
2017-02-04,L20170292017035.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-01-29
2008-05-31,M20081462008152.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-05-25
2022-07-23,L20221982022204.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-07-17
2022-01-22,L20220162022022.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-01-16
2010-07-24,M20101992010205.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-07-18
2012-03-17,M20120712012077.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-03-11
2019-11-09,L20193072019313.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-11-03
2011-08-06,M20112122011218.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-07-31
2008-06-21,M20081672008173.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-06-15
2024-05-18,L20241332024139.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-05-12
2019-02-16,L20190412019047.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-02-10
2021-01-23,L20210172021023.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-01-17
2016-06-18,L20161642016170.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-06-12
2019-11-16,L20193142019320.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-11-10
2021-02-06,L20210312021037.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-01-31
2012-03-31,M20120852012091.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-03-25
2008-11-22,M20083212008327.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-11-16
2017-04-08,L20170922017098.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-04-02
2008-10-04,M20082722008278.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-09-28
2008-06-07,M20081532008159.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-06-01
2017-05-13,L20171272017133.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-05-07
2010-06-12,M20101572010163.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-06-06
2021-02-27,L20210522021058.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-02-21
2011-12-17,M20113452011351.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-12-11
2023-03-25,L20230782023084.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-03-19
2017-10-28,L20172952017301.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-10-22
2020-11-21,L20203202020326.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-11-15
