year,month,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2009,2,0.0005048674830098632,,0.0005048674830098632,0.0,0.0005048674830098632,0.0005048674830098632,76.0,,76.0,0.0,76,76
2009,3,0.00031654127621616896,0.0001743976451177339,0.00026530077925593685,0.00019148214274716333,6.677707623479695e-05,0.001263145560429136,48.13492063492064,18.057641602850342,47.166666666666664,21.40497895457339,1,110
2009,4,0.0009714358979033484,0.0006364618940188406,0.0006593860346903158,0.0007820992809890613,0.00015829798984973465,0.005568309930770164,84.8625,16.439047772503933,82.5,17.435498964974148,33,165
2009,5,0.006876489103055,0.004881058782625494,0.007580337614145195,0.0027917052045049783,6.677707623479695e-05,0.017286672330235658,152.38495313238175,40.268958106754,160.2,25.85367012585336,1,207
2009,6,0.01200063083745102,0.0004569191936740034,0.012886073676689013,0.004275686439649877,6.860273023526938e-05,0.02203623524596353,187.35150602592412,6.314917821196049,196.0,25.782156078192855,2,216
2009,7,0.008576906675691264,0.002401648173337271,0.008976036640365606,0.005255290430176334,6.677707623479695e-05,0.04209915704428271,166.66784791052748,10.14699260619186,180.0,38.73584929181485,1,240
2009,8,0.005200437168915882,0.000796307229663966,0.003029671768293809,0.00566225675848165,6.677707623479695e-05,0.05977992970248461,133.97588318512513,10.685506351647195,141.0,52.5176357015696,1,253
2009,9,0.004496263835977347,0.0020973740738403795,0.002065043999311128,0.00510585999448541,6.677707623479695e-05,0.04209915704428271,121.50593029286519,18.421930606521542,125.5,54.21325959137913,1,240
2009,10,0.007016639555760937,0.004742795698846178,0.007655738213244367,0.0036562885763312056,6.677707623479695e-05,0.021449807549949466,142.9048784840234,54.99610685431815,157.375,36.51795086919651,1,215
2009,11,0.0021951774421094796,0.002058945798389335,0.0019478461533347067,0.0015505213403508304,6.677707623479695e-05,0.015105718944621501,99.47470484061392,41.5064057233694,106.9,37.31589495014401,1,202
2009,12,0.00023350895504474403,0.00010188692450011197,0.00014098944820622038,0.00027062913341393315,6.677707623479695e-05,0.004865790431142645,33.811087061087065,6.596292447926552,28.25,24.878298225394232,1,160
2010,1,0.00039897624278235466,,0.00011920211155692434,0.0005215972722139708,6.677707623479695e-05,0.0015256376578027826,41.666666666666664,,22.0,40.55312017040804,1,117
2010,2,0.000657579789415928,,0.0006264543077991759,0.00047365666284510463,0.0001421082855563661,0.001445517653848912,73.6,,84.0,32.020410157689525,29,115
2010,3,0.00035682533850824543,2.9550007770137673e-05,0.00020159711549510762,0.0003852126585586564,6.860273023526938e-05,0.0017936404932533908,46.55416666666667,3.7535584967985924,39.0,33.00692313108755,2,123
2010,4,0.002877047484415432,0.002090323678175019,0.002460438967278076,0.002184830904925717,7.24051403982037e-05,0.011227612102877545,111.48884180790961,36.704683025804336,112.875,40.51121687199571,4,191
2010,5,0.009068739790932354,0.002692666899934806,0.01000499235177525,0.0049376503988960135,6.677707623479695e-05,0.020323354845454233,167.06258453301595,13.574015585711773,184.75,42.69979081097516,1,213
