year,season,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2009,1,0.00028778066063776787,0.00015004265786084937,0.00021376505516694893,0.00021650330673114653,6.677707623479695e-05,0.004865790431142645,42.24886964886965,19.713299585238513,37.8,19.902638580315386,1,160
2009,2,0.0032681510779614086,0.004357972213164315,0.003444594545604588,0.0014717807978935522,6.677707623479695e-05,0.017286672330235658,103.81496063055589,52.64119035268417,106.04166666666667,21.93544027940696,1,207
2009,3,0.0083317181459345,0.0032090398604016626,0.007892061546899039,0.005110399328593316,6.677707623479695e-05,0.05977992970248461,160.45821782087938,24.89819803754192,169.92307692307693,40.05078461445221,1,253
2009,4,0.004386730829038503,0.0035280365070798113,0.0037401815089919614,0.0032924000757708167,6.677707623479695e-05,0.04209915704428271,119.61667379312492,42.026854897898914,128.15384615384616,42.269562814847895,1,240
2010,1,0.0004608635131646074,0.00017422139421034523,0.0003521150259784716,0.00036783620579177795,6.677707623479695e-05,0.0015256376578027826,57.64444444444444,15.966678264899523,54.666666666666664,28.41047400848753,1,117
2010,2,0.004849679977840764,0.004242628401856843,0.005026491950720352,0.0029260350532404234,6.677707623479695e-05,0.020323354845454233,120.73140386970354,52.218653782243436,126.85,39.88578769940586,1,213
2010,3,0.004583138501292764,0.0014026022578086362,0.003442882130077563,0.00398693444111946,6.677707623479695e-05,0.04564733211318595,133.9615226254344,12.896061067118376,144.46153846153845,47.41475154764631,1,243
2010,4,0.0035424117003916606,0.0023694644460904766,0.0031027192558891405,0.0026157865249501248,6.677707623479695e-05,0.04689530880192727,115.37353256748759,45.479673569649364,124.66666666666667,39.518131459148066,1,244
2011,1,0.00037953197087135066,0.0001688617610742893,0.00027613481204904626,0.0003629112283572722,6.677707623479695e-05,0.004865790431142645,51.62463768115943,8.484520790691665,52.0,27.61050208222598,1,160
2011,2,0.0014043974813413146,0.0011411526395399376,0.0012060754716011006,0.000647488604361907,6.677707623479695e-05,0.009811093170815422,86.37984126984126,45.07265460431304,82.65,19.980647583643645,1,186
2011,3,0.005933891418984385,0.0036590305700697186,0.0051534076723334325,0.004481644316038328,6.677707623479695e-05,0.05977992970248461,148.32749420155298,18.795427495546516,157.36363636363637,34.71940176939068,1,253
2011,4,0.004641701254406979,0.004960173960940919,0.003141020716658068,0.004579527622706518,6.677707623479695e-05,0.05977992970248461,115.6546732513112,40.15248951749189,119.75,44.62491013330594,1,253
2012,1,0.0004988281329307896,0.0005133125432724188,0.00031151354203130306,0.0003634962529879179,6.860273023526938e-05,0.0029146566385597063,50.34268707482993,34.590278763463765,44.785714285714285,21.009877842640794,2,141
2012,2,0.0014461317180985568,0.001447569525746036,0.0014527719740925274,0.0009222340443345903,0.00013106218378977397,0.0062026803395049835,90.27083333333334,38.134470590559175,93.875,23.586509534705797,26,169
2016,1,0.000372666494080975,2.988164248095307e-05,0.0002408807949994456,0.0003794734051590087,6.677707623479695e-05,0.0072922810778448905,50.598251706994354,1.785528966542072,48.5,31.573149609105975,1,175
2016,2,0.002475015663847699,0.0022962298679657937,0.002238054680020304,0.0018646185524235394,6.860273023526938e-05,0.01874361693655935,105.47525242875186,33.70985759969113,110.66666666666667,40.98080307813096,2,210
2016,3,0.008087824845315738,0.0029510525880990838,0.007441449210428468,0.005788749907432835,6.677707623479695e-05,0.052237862751382015,154.34387711624206,21.640588929733,166.3846153846154,49.51870892000129,1,248
2016,4,0.004812696790760194,0.0027243242993665365,0.0038442226821643302,0.004547281586368421,6.677707623479695e-05,0.03302534780013992,114.59293113275308,37.33870386696804,125.6923076923077,56.9177061950196,1,231
2017,1,0.00036005294901189243,0.00011873191059075059,0.00023516301432123285,0.000368294078904061,6.677707623479695e-05,0.009550000624864566,48.134352879896035,10.068438076063686,46.25,29.82484029755391,1,185
