startdate_extracted,startdate_standard,year,month,season,mean_ci,median_ci,std_ci,min_ci,max_ci,perc_ci,mean_dn,median_dn,std_dn,min_dn,max_dn,perc_dn
2008013,2008-01-13,2008,1,1,0.000189344805815232,0.00012417935507239513,0.00013340014134092574,6.860273023526938e-05,0.0003752523321380315,"[9.63910427e-05 1.24179355e-04 2.49715844e-04 3.25037737e-04
 3.50145034e-04 3.70230873e-04]",30.333333333333332,24.0,26.106618998935033,2,65,[13.   24.   44.5  56.8  60.9  64.18]
2008020,2008-01-20,2008,1,1,0.00016622037335487375,0.0001145685347138735,0.00011634074052209194,7.047829676137728e-05,0.00036526612723037066,[0.00010123 0.00011457 0.00017956 0.00029098 0.00032812 0.00035784],27.25,21.0,22.465250944514285,3,64,[15.75 21.   32.5  51.4  57.7  62.74]
2008027,2008-01-27,2008,1,1,0.00017666788997161445,0.00021879802626908177,5.192945585188145e-05,8.512426989050051e-05,0.00021879802626908177,[0.00012418 0.0002188  0.0002188  0.0002188  0.0002188  0.0002188 ],35.07692307692308,45.0,12.833019540721677,10,45,[24. 45. 45. 45. 45. 45.]
2008055,2008-02-24,2008,2,1,0.00023092523805587757,0.00023092523805587757,0.0,0.00023092523805587757,0.00023092523805587757,[0.00023093 0.00023093 0.00023093 0.00023093 0.00023093 0.00023093],47.0,47.0,0.0,47,47,[47. 47. 47. 47. 47. 47.]
2008090,2008-03-30,2008,3,2,0.0005714249804550927,0.0005623845744677356,0.00047424692430217473,0.00010851240774472338,0.001445517653848912,[0.00011453 0.00056238 0.00077732 0.00124655 0.00134603 0.00142562],63.55555555555556,80.0,38.14041633260827,19,115,[ 21.    80.    92.   109.4  112.2  114.44]
2008104,2008-04-13,2008,4,2,0.0003279090477509843,0.0003279090477509843,0.0,0.0003279090477509843,0.0003279090477509843,[0.00032791 0.00032791 0.00032791 0.00032791 0.00032791 0.00032791],60.0,60.0,0.0,60,60,[60. 60. 60. 60. 60. 60.]
2008118,2008-04-27,2008,4,2,0.0015843453056384154,0.0017936404932533908,0.0007039060543556552,0.0003279090477509843,0.0022864483748491924,[0.0012119  0.00179364 0.00216325 0.00228645 0.00228645 0.00228645],112.0,123.0,25.317977802344327,60,132,[107.25 123.   129.75 132.   132.   132.  ]
2008125,2008-05-04,2008,5,2,0.0007505793779214546,0.00038551155521251214,0.0005952811623879043,0.0001861055822416004,0.0018426777845897708,[0.00025492 0.00038551 0.00116496 0.00143605 0.00163936 0.00180201],77.71428571428571,66.0,31.6214858497658,39,124,[ 50.5   66.   107.   113.8  118.9  122.98]
2008132,2008-05-11,2008,5,2,0.0028979572099749745,0.0031603079234173324,0.0014853510818004507,0.00010007771940692956,0.006037614778168966,[0.0016102  0.00316031 0.00413875 0.00461026 0.00499882 0.00556831],131.72118959107806,144.0,32.089911396804474,16,168,[119. 144. 154. 158. 161. 165.]
2008139,2008-05-18,2008,5,2,0.006710323952623002,0.007491648628402593,0.002551907016668102,0.00014998485238371518,0.012848647071018005,[0.00620268 0.00749165 0.00812306 0.00880768 0.00955    0.01154736],165.49498327759198,176.0,28.863114978647463,31,196,[169.   176.   179.   182.   185.   192.04]
2008146,2008-05-25,2008,5,2,0.008672352792358862,0.009048475191279258,0.0026173940724710043,0.00011452687219239174,0.016378849789041684,[0.00749165 0.00904848 0.01063799 0.01122761 0.01184992 0.01276658],178.17090909090908,183.0,19.691588784821892,21,205,[176.   183.   189.   191.   193.   195.76]
2008153,2008-06-01,2008,6,3,0.010148625670191123,0.010928823193440932,0.0025420185283865112,6.860273023526938e-05,0.013931548782293813,[0.00929586 0.01092882 0.01153457 0.01250672 0.01284865 0.01319992],184.9541884816754,190.0,16.644394234094914,2,199,[184. 190. 192. 195. 196. 197.]
2008160,2008-06-08,2008,6,3,0.006722126027244282,0.007906884593269861,0.005502939030107435,6.677707623479695e-05,0.016378849789041684,[0.0007169  0.00790688 0.01250672 0.01319992 0.0135608  0.01431243],142.57126632595117,178.0,58.93566356261893,1,205,[ 89. 178. 195. 197. 198. 200.]
2008167,2008-06-15,2008,6,3,0.008905821533138047,0.010354887860243467,0.0037705881806460173,7.641830489988815e-05,0.016826639874000782,[0.00654647 0.01035489 0.01184992 0.01284865 0.01284865 0.01393155],174.51581027667984,188.0,32.62696009037171,6,206,[171. 188. 193. 196. 196. 199.]
2008174,2008-06-22,2008,6,3,0.0099704042741671,0.010354887860243467,0.0037256357448294027,8.745152757570437e-05,0.017759281858445344,[0.00834514 0.01035489 0.01284865 0.01393155 0.01470373 0.01594298],180.67623762376238,188.0,28.06663093396033,11,208,[180. 188. 196. 199. 201. 204.]
2008181,2008-06-29,2008,6,3,0.0005675232765130794,0.0003702592296842011,0.0004172728221173505,0.00010851240774472338,0.0016101984342484148,[0.0003312  0.00037026 0.00073701 0.00096452 0.00125508 0.00153917],69.91666666666667,64.5,29.173213550942393,19,119,[ 60.25  64.5   89.5  100.   108.55 116.91]
2008188,2008-07-06,2008,7,3,0.010560629533661133,0.013931548782293813,0.00664827006571001,6.860273023526938e-05,0.01874361693655935,[0.00242967 0.01393155 0.01594298 0.01728667 0.01775928 0.01824481],166.81837916063677,199.0,55.06724880417196,2,210,[134.25 199.   204.   207.   208.   209.  ]
2008195,2008-07-13,2008,7,3,0.012613558819399767,0.013931548782293813,0.005698566451009348,6.677707623479695e-05,0.021449807549949466,[0.01007932 0.01393155 0.01682664 0.01874362 0.01978251 0.02087899],182.512641673932,199.0,45.827474567037186,1,215,[187. 199. 206. 210. 212. 214.]
2008202,2008-07-20,2008,7,3,0.010275081465196177,0.011227612102877545,0.004202927027801719,7.641830489988815e-05,0.020878985851911634,[0.00892808 0.01122761 0.01284865 0.01510572 0.01594298 0.01728667],180.8911739502999,191.0,29.44809645504752,6,214,[182.5 191.  196.  202.  204.  207. ]
2008209,2008-07-27,2008,7,3,0.010866916469697629,0.012173890749379723,0.004693021489021504,8.984241139644306e-05,0.01824481230988928,[0.00834514 0.01217389 0.01470373 0.01594298 0.01594298 0.01682664],182.29430894308942,194.0,30.53785416032964,12,209,[180. 194. 201. 204. 204. 206.]
2008216,2008-08-03,2008,8,3,0.009918664948495247,0.010637985646376327,0.005066451484348557,7.438466303794841e-05,0.017759281858445344,[0.00672545 0.01063799 0.01470373 0.0155187  0.01594298 0.01682664],175.15948670944087,189.0,38.37124182492116,5,208,[172. 189. 201. 203. 204. 206.]
2008223,2008-08-10,2008,8,3,0.005821873570620822,0.004028611610130368,0.005284594552065229,6.677707623479695e-05,0.02325762693933648,[0.00107441 0.00402861 0.01007932 0.01431243 0.01594298 0.01682664],140.84254723582924,153.0,53.20354232675498,1,218,[104. 153. 187. 200. 204. 206.]
2008230,2008-08-17,2008,8,3,0.003618882944157685,0.0021087223447745704,0.0038211306360088275,6.677707623479695e-05,0.017759281858445344,[0.00091387 0.00210872 0.00499882 0.01063799 0.01250672 0.01431243],125.49889729048519,129.0,46.794693956974896,1,208,[ 98. 129. 161. 189. 195. 200.]
2008237,2008-08-24,2008,8,3,0.004201777688137436,0.0026880998708233637,0.004329621546057796,6.677707623479695e-05,0.02661554723433558,[0.00096452 0.0026881  0.00587694 0.01092882 0.01319992 0.01824481],130.67708079082254,138.0,48.40199898042787,1,223,[100. 138. 167. 190. 197. 209.]
2008244,2008-08-31,2008,8,3,0.009611186163490567,0.007696466794452358,0.00856705948249289,6.677707623479695e-05,0.05513322536354969,[0.00210872 0.00769647 0.01510572 0.02087899 0.02590726 0.03580877],160.532623488912,177.0,53.795556033984305,1,250,[129. 177. 202. 214. 222. 234.]
2008251,2008-09-07,2008,9,4,0.012416861637829915,0.007906884593269861,0.011846240878268698,6.677707623479695e-05,0.05977992970248461,[0.00307621 0.00790688 0.01824481 0.031291   0.03580877 0.04564733],168.9821501344853,178.0,54.20550359518953,1,253,[143. 178. 209. 229. 234. 243.]
2008258,2008-09-14,2008,9,4,0.004008039848215316,0.0027615912627732323,0.003831676003253813,6.677707623479695e-05,0.01874361693655935,[0.00075664 0.00276159 0.00603761 0.01063799 0.01153457 0.01319992],127.50353817504656,139.0,51.36238222453539,1,210,[ 91. 139. 168. 189. 192. 197.]
2008265,2008-09-21,2008,9,4,0.005370618035280418,0.003817046054913863,0.005065823343176167,6.677707623479695e-05,0.03129099693196857,[0.00110378 0.00381705 0.00955    0.01184992 0.0135608  0.02144981],138.05395996518712,151.0,53.25155137324387,1,229,[105. 151. 185. 193. 198. 215.]
2008272,2008-09-28,2008,9,4,0.005148769161391116,0.004028611610130368,0.0044980377999791245,6.677707623479695e-05,0.017286672330235658,[0.00107441 0.00402861 0.00904848 0.01217389 0.01319992 0.01431243],137.3824531516184,153.0,52.865825672373624,1,207,[104. 153. 183. 194. 197. 200.]
2008279,2008-10-05,2008,10,4,0.00612769487190635,0.003715466928598598,0.005531377566775235,6.677707623479695e-05,0.017286672330235658,[0.00091387 0.00371547 0.01217389 0.01393155 0.01431243 0.01510572],138.75899772209567,150.0,58.24640733998913,1,207,[ 98. 150. 194. 199. 200. 202.]
2008286,2008-10-12,2008,10,4,0.005662560758313943,0.003616591023243861,0.005251366274059827,6.677707623479695e-05,0.02521781184235494,[0.00086588 0.00361659 0.01122761 0.0135608  0.01431243 0.0155187 ],137.12919410473503,149.0,55.99359584631827,1,221,[ 96. 149. 191. 198. 200. 203.]
2008293,2008-10-19,2008,10,4,0.006793905655010953,0.0062026803395049835,0.005634820154412459,6.677707623479695e-05,0.016378849789041684,[0.00086588 0.00620268 0.01250672 0.01393155 0.01431243 0.0155187 ],142.02558519324987,169.0,61.481570887456066,1,205,[ 96. 169. 195. 199. 200. 203.]
