ActivityStartDate,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
2009-04-15,42.43,-81.205,Orthophosphate,0.978827,ug/L
2009-04-15,42.110167,-81.575,Orthophosphate,0.7378,ug/L
2009-08-18,41.949833,-82.6865,Orthophosphate,0.9085610000000001,ug/L
2009-04-15,42.110167,-81.575,Orthophosphate,0.6452,ug/L
2009-04-16,42.2535,-81.106833,Orthophosphate,0.358902,ug/L
2009-08-18,41.949833,-82.6865,Orthophosphate,1.063513,ug/L
2009-04-15,42.281167,-81.670833,Orthophosphate,0.22258899999999998,ug/L
2009-08-19,42.253333,-81.107167,Orthophosphate,0.52756,ug/L
2009-04-15,41.964833,-82.042167,Orthophosphate,0.463003,ug/L
2009-08-17,41.9465,-83.0455,Orthophosphate,0.8,ug/L
2009-08-19,42.1095,-81.574667,Orthophosphate,2.086129,ug/L
2009-08-18,41.949833,-82.6865,Orthophosphate,0.579605,ug/L
2009-08-19,42.2815,-81.671833,Orthophosphate,0.36438899999999996,ug/L
2009-04-15,42.43,-81.205,Orthophosphate,0.909236,ug/L
2009-08-19,42.429667,-81.2055,"Total Nitrogen, mixed forms",0.0007599999999999999,mg/L
2009-04-15,41.95,-82.686833,Orthophosphate,0.8,ug/L
2009-04-14,41.946667,-83.045667,Orthophosphate,2.456527,ug/L
2009-08-19,42.1095,-81.574667,Orthophosphate,0.28733000000000003,ug/L
2009-08-17,41.84,-82.9165,"Total Nitrogen, mixed forms",0.0256,mg/L
2009-08-17,41.9465,-83.0455,Orthophosphate,0.7577189999999999,ug/L
2009-04-14,41.946667,-83.045667,Orthophosphate,2.3044990000000003,ug/L
2009-04-15,42.110167,-81.575,Orthophosphate,0.5334270000000001,ug/L
2009-04-15,41.95,-82.686833,Orthophosphate,0.750164,ug/L
2009-08-19,42.429667,-81.2055,Orthophosphate,1.8652919999999997,ug/L
2009-04-15,41.95,-82.686833,Orthophosphate,0.583059,ug/L
2009-08-18,41.965,-82.041833,Orthophosphate,0.43608100000000005,ug/L
2009-08-18,41.965,-82.041833,Orthophosphate,0.41994899999999996,ug/L
2009-08-19,42.429667,-81.2055,"Total Phosphorus, mixed forms",0.02248,ug/L
2009-08-19,42.1095,-81.574667,Orthophosphate,0.414152,ug/L
2009-04-16,42.2535,-81.106833,Orthophosphate,0.41333100000000006,ug/L
2009-08-17,41.9465,-83.0455,Orthophosphate,0.49551999999999996,ug/L
2009-08-19,42.2815,-81.671833,Orthophosphate,0.835674,ug/L
2009-08-19,42.253333,-81.107167,Orthophosphate,0.530921,ug/L
2009-08-19,42.429667,-81.2055,Orthophosphate,0.456711,ug/L
2009-04-15,42.281167,-81.670833,Orthophosphate,0.083299,ug/L
2009-08-17,41.84,-82.9165,"Total Phosphorus, mixed forms",10.488,ug/L
2009-04-15,42.110167,-81.575,Orthophosphate,0.567203,ug/L
2009-08-19,42.429667,-81.2055,Orthophosphate,0.786051,ug/L
2009-04-15,41.95,-82.686833,Orthophosphate,0.680951,ug/L
2009-04-14,41.946667,-83.045667,Nitrate + Nitrite,-0.0032909999999999997,mg/L
2009-08-19,42.2815,-81.671833,Orthophosphate,0.46898100000000004,ug/L
2009-08-19,42.253333,-81.107167,Orthophosphate,0.136971,ug/L
2009-08-17,41.84,-82.9165,"Total Nitrogen, mixed forms",0.02376,mg/L
2009-04-14,41.840667,-82.916667,Orthophosphate,7.486934,ug/L
2009-08-19,42.1095,-81.574667,Orthophosphate,0.431742,ug/L
2009-04-15,42.43,-81.205,Orthophosphate,0.6,ug/L
2009-04-14,41.946667,-83.045667,Phosphorus,0.23800000000000002,ug/L
2009-08-19,42.253333,-81.107167,Orthophosphate,1.126494,ug/L
2009-04-15,41.964833,-82.042167,Orthophosphate,1.2,ug/L
2009-04-15,41.964833,-82.042167,Orthophosphate,0.849351,ug/L
2009-08-19,42.2815,-81.671833,Orthophosphate,0.487464,ug/L
2009-08-19,42.429667,-81.2055,Orthophosphate,0.474125,ug/L
2009-08-17,41.84,-82.9165,Orthophosphate,0.825235,ug/L
2009-08-18,41.965,-82.041833,Orthophosphate,1.8,ug/L
2009-04-15,41.964833,-82.042167,Orthophosphate,0.530792,ug/L
2009-08-17,41.9465,-83.0455,Orthophosphate,0.553958,ug/L
2009-08-17,41.84,-82.9165,Orthophosphate,0.6437390000000001,ug/L
2009-04-16,42.2535,-81.106833,Orthophosphate,0.51154,ug/L
2009-04-14,41.946667,-83.045667,Orthophosphate,2.88993,ug/L
2009-04-14,41.840667,-82.916667,"Total Nitrogen, mixed forms",0.0352,mg/L
2009-04-15,41.95,-82.686833,Orthophosphate,0.813894,ug/L
2009-08-19,42.2815,-81.671833,Orthophosphate,0.51217,ug/L
