OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E009M09:09GC20I92:4401004,Sample-Routine,Water,,2009-04-16,12:54:00,EDT,2009-04-16,12:54:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,University of Minnesota - Duluth;Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office,EPA_GLNPO-ER09,ER09,"SRF,5M,10M,20M. The primary intent for combining samples was to represent conditions across different locations at approximately the same time..",,,,42.5333330000,-79.6166670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706834,,as P,Orthophosphate,Dissolved,3.119974,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20I92-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:45,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E015G09:09GC46S21:4402904,Sample-Routine,Water,Surface Water,2009-08-19,17:23:00,EDT,2009-08-19,17:23:00,EDT,Surface,2,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth",EPA_GLNPO-ER15M,ER15M,,,,,42.5165000000,-79.8931670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706933,,as P,Orthophosphate,Dissolved,0.255241,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC46S21-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-19,,,,,,,2020-07-10T17:09:46,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E015G09:09GC46S30:4402910,Sample-Routine,Water,Surface Water,2009-08-19,17:23:00,EDT,2009-08-19,17:23:00,EDT,Near Bottom,52.4,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Cetacean Marine, Inc.;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth",EPA_GLNPO-ER15M,ER15M,,,,,42.5165000000,-79.8931670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706938,,as P,Orthophosphate,Dissolved,2.428411,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC46S30-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-19,,,,,,,2020-07-10T17:09:46,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E015M09:09GC20S23:4400950,Sample-Routine,Water,Surface Water,2009-04-16,09:31:00,EDT,2009-04-16,09:31:00,EDT,Surface,10,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. EPA Great Lakes National Program Office;University of Minnesota - Duluth;U.S. Public Health Service;Univeristy of Michigan,EPA_GLNPO-ER15M,ER15M,,,,,42.5166670000,-79.8933330000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706965,,as P,Orthophosphate,Dissolved,2.506357,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20S23-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:47,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E030M09:09GC20S03:4400892,Sample-Routine,Water,Surface Water,2009-04-15,22:39:00,EDT,2009-04-15,22:39:00,EDT,Midwater,10.6,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,Univeristy of Michigan;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;University of Minnesota - Duluth,EPA_GLNPO-ER30,ER30,,,,,42.4300000000,-81.2050000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707042,,as P,Orthophosphate,Dissolved,0.978827,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20S03-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:48,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E037M09:09GC19S01:4400871,Sample-Routine,Water,Surface Water,2009-04-15,18:38:00,EDT,2009-04-15,18:38:00,EDT,Surface,1.9,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. EPA Great Lakes National Program Office;U.S. Public Health Service;Univeristy of Michigan;University of Minnesota - Duluth,EPA_GLNPO-ER37,ER37,,,,,42.1101670000,-81.5750000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707287,,as P,Orthophosphate,Dissolved,0.7378,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC19S01-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:50,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E009M09:09GC20S83:4401001,Sample-Routine,Water,Surface Water,2009-04-16,12:54:00,EDT,2009-04-16,12:54:00,EDT,Midwater,24.2,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. EPA Great Lakes National Program Office;Univeristy of Michigan;University of Minnesota - Duluth;U.S. Public Health Service,EPA_GLNPO-ER09,ER09,,,,,42.5333330000,-79.6166670000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706836,,as P,Orthophosphate,Dissolved,2.388311,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC20S83-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:45,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E092G09:09GC44S11:4402721,Sample-Routine,Water,Surface Water,2009-08-18,01:24:00,EDT,2009-08-18,01:24:00,EDT,Bottom,10.3,m,Water Surface,,,,,WQS-SU2009,Water Quality Survey of the Great Lakes - Summer 2009,"Univeristy of Michigan;U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;Cetacean Marine, Inc.;University of Minnesota - Duluth",EPA_GLNPO-ER92,ER92,,,,,41.9498330000,-82.6865000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707942,,as P,Orthophosphate,Dissolved,0.908561,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC44S11-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-08-18,,,,,,,2020-07-10T17:09:58,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E037M09:09GC19I12:4400875,Sample-Routine,Water,,2009-04-15,18:38:00,EDT,2009-04-15,18:38:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,U.S. Public Health Service;U.S. EPA Great Lakes National Program Office;Univeristy of Michigan;University of Minnesota - Duluth,EPA_GLNPO-ER37,ER37,"SRF,5M,MID,B-. The primary intent for combining samples was to represent conditions across different locations at approximately the same time..",,,,42.1101670000,-81.5750000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851707286,,as P,Orthophosphate,Dissolved,0.6452,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC19I12-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:50,STORET
EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-E010M09:09GC21I12:4401013,Sample-Routine,Water,,2009-04-16,14:26:00,EDT,2009-04-16,14:26:00,EDT,Surface,0,m,Water Surface,,,,,WQS-SP2009,Water Quality Survey of the Great Lakes - Spring 2009,University of Minnesota - Duluth;Univeristy of Michigan;U.S. EPA Great Lakes National Program Office;U.S. Public Health Service,EPA_GLNPO-ER10,ER10,The primary intent for combining samples was to represent conditions across different locations at approximately the same time..,,,,42.6798330000,-79.6920000000,UNKNOWN,EPA_GLNPO,Unknown,During data conversion between GLENDA to WQX a sample collection could not be identify,Miscellaneous (Other),STORET-851706912,,as P,Orthophosphate,Dissolved,1.811604,ug/L,,Accepted,,Actual,,,,,,,,,,- 09GC21I12-RFS0-P-ortho as P,,,,,,,,,,UNKNOWN,EPA_GLNPO,Unknown,,,,2009-04-16,,,,,,,2020-07-10T17:09:46,STORET
