date,nitrate_plus_nitrite_conc_mgL,orthophosphate_conc_mgL,total_phosphorus_unfiltered_conc_mgL,month
2002-03-31,1.161,0.9147000000000001,3.3533999999999997,3
2002-04-30,0.554,1.3119999999999998,3.3959999999999995,4
2002-05-31,0.36999999999999994,1.22,1.4400000000000002,5
2002-06-30,0.838181818181818,1.1254545454545457,2.352727272727273,6
2002-07-31,0.9,1.7419999999999998,2.354,7
2002-08-31,1.471111111111111,2.2944444444444447,2.9655555555555555,8
2002-09-30,1.5633333333333332,1.3066666666666669,1.8455555555555558,9
2002-10-31,1.246,1.7919999999999998,3.315999999999999,10
2002-11-30,,,,11
2002-12-31,,,,12
2003-01-31,,,,1
2003-02-28,4.034615384615385,8.53219230769231,9.019615384615385,2
2003-03-31,3.37375,4.35125,5.043125,3
2003-04-30,0.84,3.45,4.52,4
2003-05-31,0.608095238095238,1.6454047619047618,10.826119047619054,5
2003-06-30,,,,6
2003-07-31,0.6691666666666666,2.261666666666667,3.47,7
2003-08-31,0.6,0.89,1.71,8
2003-09-30,0.3385714285714285,3.532857142857143,4.2457142857142856,9
2003-10-31,,,,10
2003-11-30,0.5912000000000001,2.3222399999999994,4.3568,11
2003-12-31,1.1175,4.07575,6.9775,12
2004-01-31,3.6133333333333333,1.9909999999999999,3.573333333333333,1
2004-02-29,1.9748818897637799,3.149464566929134,3.8573464566929117,2
2004-03-31,2.9922500000000003,1.6890499999999988,2.955587500000001,3
2004-04-30,,,,4
2004-05-31,1.1718181818181816,0.9693636363636364,3.8108016528925637,5
2004-06-30,1.3198333333333336,0.9774333333333334,1.7571666666666659,6
2004-07-31,2.091052631578948,1.7942894736842108,3.0603947368421047,7
2004-08-31,1.1288888888888886,2.8450000000000006,3.7536666666666667,8
2004-09-30,,,,9
2004-10-31,0.92,4.51,5.98,10
2004-11-30,4.8325,5.77,7.9925,11
2004-12-31,6.756249999999999,1.7882500000000008,2.4287500000000004,12
2005-01-31,1.7811320754716982,1.6203584905660378,1.916471698113208,1
2005-02-28,0.9176068376068369,2.6554700854700855,3.175470085470085,2
2005-03-31,1.3969465648854953,1.5008396946564881,1.9917099236641216,3
2005-04-30,1.3142857142857145,0.2505714285714286,4.135714285714286,4
2005-05-31,7.022222222222222,0.17988888888888888,2.9466666666666663,5
2005-06-30,5.84375,0.6674999999999998,2.245625,6
2005-07-31,5.58125,0.3421875,2.0734375,7
2005-08-31,17.09375,0.7854374999999999,1.2062499999999998,8
2005-09-30,8.924000000000001,0.9334800000000001,2.22732,9
2005-10-31,12.616666666666665,0.4718333333333333,0.7886666666666667,10
2005-11-30,26.197368421052634,1.8307894736842107,2.479868421052632,11
2005-12-31,16.22222222222222,0.46044444444444443,1.9183333333333334,12
2006-01-31,25.357142857142865,0.7849428571428573,1.3242571428571432,1
2006-02-28,30.995238095238093,0.23633333333333334,0.2807142857142857,2
2006-03-31,12.761728395061729,1.1425308641975311,1.9393827160493835,3
2006-04-30,13.22244897959184,1.1744285714285716,1.833020408163265,4
2006-05-31,10.369230769230775,0.8232564102564103,3.4818717948717937,5
2006-06-30,18.256249999999998,1.370375,1.8939375000000003,6
2006-07-31,4.072413793103447,1.5573793103448272,4.478689655172415,7
2006-08-31,14.98,0.2766,2.6092000000000004,8
2006-09-30,13.1,2.3161851851851853,3.385703703703704,9
2006-10-31,8.912765957446808,0.8584042553191489,2.180148936170212,10
2006-11-30,13.996875,1.8053750000000002,2.60459375,11
2006-12-31,17.532558139534885,0.98253488372093,1.2919767441860466,12
2007-01-31,26.672727272727276,0.060727272727272734,0.07427272727272728,1
2007-02-28,5.367567567567567,1.722702702702703,2.263486486486486,2
